threshold,accuracy,precision,recall,f1
0.15,0.47514910536779326,0.25146198830409355,0.9148936170212766,0.3944954128440367
0.175,0.5427435387673957,0.2777777777777778,0.9042553191489362,0.425
0.19999999999999998,0.6123260437375746,0.31226765799256506,0.8936170212765957,0.4628099173553719
0.22499999999999998,0.6620278330019881,0.3403361344537815,0.8617021276595744,0.4879518072289157
0.24999999999999997,0.6978131212723658,0.3644859813084112,0.8297872340425532,0.5064935064935064
0.27499999999999997,0.7276341948310139,0.3862433862433862,0.776595744680851,0.5159010600706714
0.29999999999999993,0.757455268389662,0.41358024691358025,0.7127659574468085,0.5234375
0.32499999999999996,0.7693836978131213,0.4276315789473684,0.6914893617021277,0.5284552845528455
0.35,0.7793240556660039,0.43884892086330934,0.648936170212766,0.5236051502145923
0.37499999999999994,0.7952286282306164,0.4645669291338583,0.6276595744680851,0.5339366515837104
0.3999999999999999,0.8091451292246521,0.4909090909090909,0.574468085106383,0.5294117647058824
0.42499999999999993,0.8190854870775348,0.5148514851485149,0.5531914893617021,0.5333333333333333
0.44999999999999996,0.8290258449304175,0.5444444444444444,0.5212765957446809,0.532608695652174
0.475,0.8349900596421471,0.5679012345679012,0.48936170212765956,0.5257142857142857
0.4999999999999999,0.8489065606361829,0.625,0.4787234042553192,0.5421686746987951
0.5249999999999999,0.8548707753479126,0.6567164179104478,0.46808510638297873,0.546583850931677
0.5499999999999999,0.856858846918489,0.6964285714285714,0.4148936170212766,0.52
0.575,0.8588469184890656,0.7254901960784313,0.39361702127659576,0.5103448275862069
0.5999999999999999,0.8608349900596421,0.75,0.3829787234042553,0.5070422535211268
