feature,importance
GROCPTH11,0.13324652660217878
WICSPTH11,0.11494254511416371
FFRPTH11,0.10240825925921815
PC_SNAPBEN12,0.10129307658733717
PCT_65OLDER10,0.0895746565292713
PCT_FREE_LUNCH10,0.07311483359840333
PCT_18YOUNGER10,0.07031548944335064
FSRPTH11,0.06733269901164289
CONVSPTH11,0.0639134196501274
SNAPSPTH12,0.06326765212967654
SUPERCPTH11,0.05187239286234168
SPECSPTH11,0.051099076729716336
METRO13_0,0.005819999667004569
METRO13_1,0.00550474128339342
PERPOV10_0,0.0033339836888667236
PERPOV10_1,0.0029606478433072815
