threshold,accuracy,precision,recall,f1
0.15,0.6819085487077535,0.35267857142857145,0.8404255319148937,0.4968553459119497
0.175,0.7335984095427436,0.3924731182795699,0.776595744680851,0.5214285714285715
0.19999999999999998,0.757455268389662,0.41358024691358025,0.7127659574468085,0.5234375
0.22499999999999998,0.7713717693836978,0.42657342657342656,0.648936170212766,0.5147679324894515
0.24999999999999997,0.8031809145129225,0.4789915966386555,0.6063829787234043,0.5352112676056338
0.27499999999999997,0.8131212723658051,0.5,0.5851063829787234,0.5392156862745098
0.29999999999999993,0.8190854870775348,0.5151515151515151,0.5425531914893617,0.5284974093264249
0.32499999999999996,0.8290258449304175,0.5454545454545454,0.5106382978723404,0.5274725274725275
0.35,0.8449304174950298,0.6025641025641025,0.5,0.5465116279069767
0.37499999999999994,0.852882703777336,0.6470588235294118,0.46808510638297873,0.5432098765432098
0.3999999999999999,0.8588469184890656,0.7017543859649122,0.425531914893617,0.5298013245033113
0.42499999999999993,0.8628230616302187,0.7450980392156863,0.40425531914893614,0.5241379310344828
0.44999999999999996,0.8588469184890656,0.7446808510638298,0.3723404255319149,0.49645390070921985
0.475,0.856858846918489,0.75,0.35106382978723405,0.4782608695652174
0.4999999999999999,0.8588469184890656,0.8108108108108109,0.3191489361702128,0.4580152671755725
0.5249999999999999,0.8588469184890656,0.8484848484848485,0.2978723404255319,0.4409448818897638
0.5499999999999999,0.8588469184890656,0.8709677419354839,0.2872340425531915,0.432
0.575,0.8548707753479126,0.8620689655172413,0.26595744680851063,0.4065040650406504
0.5999999999999999,0.8508946322067594,0.88,0.23404255319148937,0.3697478991596639
