Paradigm,Algorithm,Accuracy,Precision,Recall,F1
Supervised,Random Forest,0.8251192368839427,0.5588235294117647,0.3220338983050847,0.40860215053763443
Semi-supervised,LabelPropagation,0.8028616852146264,0.44,0.1864406779661017,0.2619047619047619
