feature,importance
GROCPTH11,0.12751569251914685
WICSPTH11,0.11625879408229266
FFRPTH11,0.10440813527174571
PC_SNAPBEN12,0.1029333939084135
PCT_65OLDER10,0.09058503834518263
PCT_FREE_LUNCH10,0.07333700684530549
PCT_18YOUNGER10,0.07127420714726658
FSRPTH11,0.06628826076749081
CONVSPTH11,0.0651006027050017
SNAPSPTH12,0.06430811546260286
SUPERCPTH11,0.050948801836771154
SPECSPTH11,0.04938327960692624
METRO13_0,0.005708238163892155
METRO13_1,0.005391618884227099
PERPOV10_0,0.003388341895936542
PERPOV10_1,0.0031704725577980986
